region,zone,woreda,adm3_pcode,hf_name,hf_id,otp_admitted_t1,otp_admitted_t2,otp_active_t1,otp_active_t2,lmri_t1_days,lmri_t2_days,lmri_t1_critical (0/1),lmri_t2_critical (0/1),lmri_delta (t2_days - t1_days),reporting_months_t1,reporting_months_t2,data_reliability_score_t2 (reporting_months_t2 / 6),low_data_flag (1 si DRS < 0.5),rutf_supply_modality_t1,rutf_supply_modality_t2
Somali,Shebele,Bercano,ET050608,Birta dheer,ET050608|birta dheer|01,14,5,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Somali,Shebele,Bercano,ET050608,Dibudajin,ET050608|dibudajin|02,25,21,1,1,28.0,42.0,0.0,1.0,14.0,,,,,0.0,0.0
Tigray,South Eastern,Seharti,ET010601,Esret,ET010601|esret|01,44,54,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Seharti,ET010601,Bamba,ET010601|bamba|01,24,26,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Atsibi,ET010307,Harekiwa Health post,ET010307|harekiwa health post|01,0,1,0,1,,180.0,,1.0,,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Debre Hiwot Health post,ET010305|debre hiwot health post|01,24,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Edaga Selus Health center,ET010305|edaga selus health center|01,5,5,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Megab Health center,ET010305|megab health center|01,14,15,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Adi Belew Health post,ET010305|adi belew health post|01,7,5,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Debre Selam Health post,ET010305|debre selam health post|01,34,9,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Harahir Health post,ET010305|harahir health post|01,8,6,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Chilla Health post,ET010305|chilla health post|01,2,0,1,0,0.0,,0.0,,,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Gira Aras Health post,ET010305|gira aras health post|01,11,6,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Siluh Health post,ET010305|siluh health post|01,17,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Maykado Health post,ET010305|maykado health post|01,18,13,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Koraro Health Center,ET010305|koraro health center|02,22,14,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Muzitey health post,ET010305|muzitey health post|01,14,8,1,1,15.0,0.0,0.0,0.0,-15.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Degamba Health center,ET010305|degamba health center|01,9,9,1,1,0.0,30.0,0.0,0.0,30.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Somet Health post,ET010305|somet health post|01,11,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Shelewa Health post,ET010305|shelewa health post|01,6,5,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Selam Health post,ET010305|selam health post|01,24,28,1,1,0.0,20.0,0.0,0.0,20.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Hayelom Health post,ET010305|hayelom health post|01,11,0,1,0,0.0,,0.0,,,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Teka Health Post,ET010305|teka health post|01,3,1,1,1,0.0,30.0,0.0,0.0,30.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Setet Health post,ET010305|setet health post|01,3,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Debre Mizen Health post,ET010305|debre mizen health post|01,7,6,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Balleda Health post,ET010305|balleda health post|01,7,4,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Freweini Health post,ET010305|freweini health post|01,29,12,1,1,0.0,14.0,0.0,0.0,14.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Tala Health post,ET010305|tala health post|01,21,14,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Mygobo Health post,ET010305|mygobo health post|01,19,13,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Hawzen,ET010305,Hatset Health post,ET010305|hatset health post|01,5,12,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Somali,Shebele,East Imi,ET050601,East Ime health center,ET050601|east ime health center|01,115,254,1,1,37.0,46.0,1.0,1.0,9.0,,,,,0.0,0.0
