region,zone,woreda,adm3_pcode,hf_name,hf_id,otp_admitted_t1,otp_admitted_t2,otp_active_t1,otp_active_t2,lmri_t1_days,lmri_t2_days,lmri_t1_critical (0/1),lmri_t2_critical (0/1),lmri_delta (t2_days - t1_days),reporting_months_t1,reporting_months_t2,data_reliability_score_t2 (reporting_months_t2 / 6),low_data_flag (1 si DRS < 0.5),rutf_supply_modality_t1,rutf_supply_modality_t2
Tigray,Southern,Mekoni,ET010412,Beadu HP,ET010412|beadu hp|01,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Southern,Mekoni,ET010412,Marsa HP,ET010412|marsa hp|01,11,19,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Balad hc,0|balad hc|01,60,30,1,1,30.0,60.0,0.0,1.0,30.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Haysufto hc,ET050991|haysufto hc|01,26,27,1,1,0.0,20.0,0.0,0.0,20.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Sora hp,ET050991|sora hp|01,13,5,1,1,30.0,45.0,0.0,1.0,15.0,,,,,0.0,0.0
Somali,Liben,Filtu,ET050901,Qurale Hc,ET050901|qurale hc|01,42,24,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Liben,Filtu,ET050901,Lantuer HP,ET050901|lantuer hp|01,27,20,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Kalabeyr hp,0|kalabeyr hp|01,4,2,1,1,30.0,60.0,0.0,1.0,30.0,,,,,0.0,0.0
Somali,Liben,Kersadula,0,Babul hp,0|babul hp|01,14,5,1,1,30.0,0.0,0.0,0.0,-30.0,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Tawfik,ET050802|tawfik|01,22,9,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0
Somali,Afder,Charati,ET050802,Bali,ET050802|bali|01,0,25,0,1,,0.0,,0.0,,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Booco,ET050802|booco|01,20,14,1,1,30.0,0.0,0.0,0.0,-30.0,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Ayanbadan,ET050802|ayanbadan|01,9,0,1,0,0.0,,0.0,,,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Diinto,ET050802|diinto|01,0,63,0,1,,0.0,,0.0,,,,,,0.0,0.0
Somali,Afder,Charati,ET050802,Darso,ET050802|darso|01,13,14,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0
Somali,Afder,Charati,ET050802,Chereti Hc,ET050802|chereti hc|01,116,136,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Afder,Hargelle,ET050806,Bohoaraus,ET050806|bohoaraus|01,21,25,1,1,20.0,30.0,0.0,0.0,10.0,,,,,0.0,0.0
Somali,Afder,Hargelle,ET050806,Godcusbo hc,ET050806|godcusbo hc|01,60,45,1,1,25.0,30.0,0.0,0.0,5.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Kuracbul hp,ET050991|kuracbul hp|01,10,16,1,1,0.0,90.0,0.0,1.0,90.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Haro Healtj Center,ET030308|haro healtj center|01,11,26,1,1,0.0,10.0,0.0,0.0,10.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Aligaiye hp,ET050991|aligaiye hp|01,8,9,1,1,0.0,90.0,0.0,1.0,90.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Dana Health Post,ET030308|dana health post|01,2,2,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Gunway hp,ET050991|gunway hp|01,11,21,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Tsistika HC,ET030801|tsistika hc|01,0,0,0,0,,,,,,,,,,,
Amhara,Waghimra,Ziqulla,ET030801,Arshewa Health Center,ET030801|arshewa health center|01,0,0,0,0,,,,,,,,,,,
Amhara,Waghimra,Ziqulla,ET030801,Nika Tederaj,ET030801|nika tederaj|01,33,56,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Addisu Fre HP,ET030801|addisu fre hp|01,19,11,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Nestanet Bedirijit,ET030801|nestanet bedirijit|01,40,40,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Debre Abeba,ET030801|debre abeba|01,8,19,1,1,60.0,0.0,1.0,0.0,-60.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Tstistiak HC,ET030801|tstistiak hc|01,50,38,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Netsanet Melkam HP,ET030801|netsanet melkam hp|01,16,32,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Netsa Work HP,ET030801|netsa work hp|01,36,45,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Ziqulla,ET030801,Debre Tsehay,ET030801|debre tsehay|01,46,182,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Afder,Hargelle,ET050806,Habltirey,ET050806|habltirey|01,11,7,1,1,30.0,30.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Afder,Hargelle,ET050806,Sursurkunyo,ET050806|sursurkunyo|01,ND,ND,1,1,90.0,60.0,1.0,1.0,-30.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Adey hp,ET050991|adey hp|01,ND,ND,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Tilfie health post,ET030308|tilfie health post|01,1,0,1,0,60.0,,1.0,,,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Kombolti health post,ET030308|kombolti health post|01,6,0,1,0,30.0,,0.0,,,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Dendegora health health post,ET030308|dendegora health health post|01,5,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Kes kebele health post,ET030308|kes kebele health post|01,2,5,1,1,0.0,35.0,0.0,1.0,35.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Arerit  Health center,ET030308|arerit health center|01,0,6,0,1,,30.0,,0.0,,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Arerit health post,ET030308|arerit health post|01,ND,ND,1,1,180.0,180.0,1.0,1.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Wila guba,ET030308|wila guba|01,0,1,0,1,,30.0,,0.0,,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Huchucho health post,ET030308|huchucho health post|01,0,2,0,1,,31.0,,1.0,,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Higli hp,ET050991|higli hp|01,7,11,1,1,0.0,160.0,0.0,1.0,160.0,,,,,0.0,0.0
Somali,Liben,Dekasuftu,ET050991,Sero hp,ET050991|sero hp|01,10,8,1,1,0.0,120.0,0.0,1.0,120.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Niwraq HC,ET030805|niwraq hc|01,0,0,0,0,,,,,,,,,,,
Amhara,Waghimra,Abergelle,ET030805,Marnet HP,ET030805|marnet hp|01,57,43,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Debre Birhan,ET030805|debre birhan|01,15,16,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Saka,ET030805|saka|02,28,24,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Beltraf,ET030805|beltraf|01,22,22,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Sazva,ET030805|sazva|01,20,35,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Worka Dibnu,ET030805|worka dibnu|01,63,39,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Abergelle,ET030805,Adizelay HP,ET030805|adizelay hp|01,34,33,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Maisru,ET010202|maisru|01,5,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Sero,ET010202|sero|01,30,19,1,1,30.0,0.0,0.0,0.0,-30.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Endamariam,ET010202|endamariam|01,4,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Degoz,ET010202|degoz|01,5,11,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,Maikeyehat,ET010202|maikeyehat|01,7,20,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,Central,Ahferom,ET010202,TahtayMegaria tsemri,ET010202|tahtaymegaria tsemri|01,11,20,1,1,0.0,7.0,0.0,0.0,7.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Fefa Dildiy HC,ET030806|fefa dildiy hc|01,0,0,0,0,,,,,,,,,,,
Amhara,Waghimra,Sehala Seyemt,ET030806,Barwa HP,ET030806|barwa hp|01,68,31,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Mendere Cherkose,ET030806|mendere cherkose|01,7,5,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Atilam HP,ET030806|atilam hp|01,28,13,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Mesheha HC,ET030806|mesheha hc|01,0,0,0,0,,,,,,,,,,,
Amhara,Waghimra,Sehala Seyemt,ET030806,Akign HP,ET030806|akign hp|01,26,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Mesheha HP,ET030806|mesheha hp|01,24,15,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Silazgie HP,ET030806|silazgie hp|01,14,26,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Giaroch HP,ET030806|giaroch hp|01,13,7,1,1,0.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Trishman HP,ET030806|trishman hp|01,17,13,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,Waghimra,Sehala Seyemt,ET030806,Debre Selam HP,ET030806|debre selam hp|01,7,9,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Bofa heslth post,ET030308|bofa heslth post|01,4,2,1,1,45.0,30.0,1.0,0.0,-15.0,,,,,0.0,0.0
Amhara,North Wollo,Habru,ET030308,Kejima heslth post,ET030308|kejima heslth post|01,6,5,1,1,45.0,30.0,1.0,0.0,-15.0,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Belago health post,ET030302|belago health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Ayda health podt,ET030302|ayda health podt|01,0,0,0,0,,,,,,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Asmella health post,ET030302|asmella health post|01,19,0,1,0,180.0,,1.0,,,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Kalim health center,ET030302|kalim health center|01,16,17,1,1,180.0,150.0,1.0,1.0,-30.0,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Kalim health post,ET030302|kalim health post|01,ND,ND,1,1,180.0,180.0,1.0,1.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Mito health post,ET030302|mito health post|01,28,0,1,0,180.0,,1.0,,,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Densa health center,ET030303|densa health center|01,2,9,1,1,90.0,30.0,1.0,0.0,-60.0,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Densa merged health post,ET030303|densa merged health post|01,ND,ND,1,1,180.0,180.0,1.0,1.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Eyela health,ET030303|eyela health|01,12,2,1,1,180.0,90.0,1.0,1.0,-90.0,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Eyela heslth post,ET030303|eyela heslth post|01,0,5,0,1,,90.0,,1.0,,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Merora health post,ET030303|merora health post|01,0,14,0,1,,90.0,,1.0,,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Gulit health post,ET030303|gulit health post|01,0,2,0,1,,90.0,,1.0,,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Gesta health post,ET030303|gesta health post|01,0,26,0,1,,90.0,,1.0,,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Yaya health post,ET030302|yaya health post|01,0,5,0,1,,0.0,,0.0,,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Workie merged health post,ET030302|workie merged health post|01,ND,ND,1,1,180.0,180.0,1.0,1.0,0.0,,,,,0.0,0.0
Amhara,North Wollo,Raya Kobo,ET030302,Workie health center,ET030302|workie health center|01,1,5,1,1,30.0,0.0,0.0,0.0,-30.0,,,,,0.0,0.0
Amhara,North Wollo,Gidan,ET030303,Emetie mesk health post,ET030303|emetie mesk health post|01,25,20,1,1,90.0,21.0,1.0,0.0,-69.0,,,,,0.0,0.0
Oromia,Borena,El-Woye,ET041295,El-Woye Health Center,ET041295|el-woye health center|01,13,25,1,1,180.0,0.0,1.0,0.0,-180.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,El-Woye Golba,ET041295|el-woye golba|01,9,11,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Dhedhertu HP,ET041295|dhedhertu hp|01,1,2,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Ade/Galchet,ET041295|ade/galchet|01,16,9,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Hidi Ale HP,ET041295|hidi ale hp|01,12,11,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Saba,ET041295|saba|01,4,3,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Bule Rasa,ET041295|bule rasa|01,4,13,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Hintalo,ET010603,Hintalo,ET010603|hintalo|01,32,45,1,1,0.0,2.0,0.0,0.0,2.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Hagereselam,ET010603|hagereselam|01,58,19,1,1,60.0,60.0,1.0,1.0,0.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Araasegeda,ET010603|araasegeda|01,93,93,1,1,60.0,60.0,1.0,1.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Fkrealem,ET010603|fkrealem|01,60,54,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Mesanu,ET010603|mesanu|01,43,55,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Hiwane,ET010603|hiwane|01,36,41,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Muja,ET010603|muja|01,23,8,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Freweyni,ET010603|freweyni|01,35,21,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Waza,ET010603|waza|01,31,26,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Maynebri,ET010603|maynebri|01,31,36,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Betmera,ET010603|betmera|01,23,11,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Tekliwoyane,ET010603|tekliwoyane|01,18,35,1,1,0.0,60.0,0.0,1.0,60.0,,,,,0.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Hareko,ET010603|hareko|01,25,35,1,1,3.0,0.0,0.0,0.0,-3.0,,,,,0.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Debrehayla,ET010603|debrehayla|01,6,19,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Maychbrk,ET010603|maychbrk|01,5,6,1,1,25.0,60.0,0.0,1.0,35.0,,,,,0.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Dongolat,ET010603|dongolat|01,35,24,1,1,15.0,60.0,0.0,1.0,45.0,,,,,1.0,0.0
Tigray,South Eastern,Hintalo,ET010603,Sihet,ET010603|sihet|01,8,30,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,0.0
Tigray,South Eastern,Dogua Temben,ET010604,EndaMariam,ET010604|endamariam|01,44,44,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Dogua Temben,ET010604,Alasa,ET010604|alasa|01,57,55,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Tigray,South Eastern,Dogua Temben,ET010604,Daerere,ET010604|daerere|01,52,24,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Hadnet,ET010604|hadnet|01,58,42,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Limat,ET010604|limat|01,10,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Aregen,ET010604|aregen|01,27,19,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Endaselase,ET010604|endaselase|01,24,21,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Mikal Abyi,ET010604|mikal abyi|01,41,30,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Mahbereselase,ET010604|mahbereselase|01,12,15,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Dogole Weyane,ET010604|dogole weyane|01,8,5,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Meifa,ET010604|meifa|01,13,7,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,South Eastern,Dogua Temben,ET010604,Selam,ET010604|selam|01,16,8,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Horbate,ET041295|horbate|01,16,0,1,0,0.0,,0.0,,,,,,,1.0,0.0
Oromia,Borena,El-Woye,ET041295,Chari Rufay HC,ET041295|chari rufay hc|01,13,19,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Oromia,Borena,El-Woye,ET041295,Saba,ET041295|saba|02,42,25,1,1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Negash Health Center,ET010306|negash health center|01,12,5,1,1,0.0,22.0,0.0,0.0,22.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Tsaeda-naele Health Post,ET010306|tsaeda-naele health post|01,10,13,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Gemad Health Post,ET010306|gemad health post|01,13,8,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Saz Health Post,ET010306|saz health post|01,15,23,1,1,0.0,71.0,0.0,1.0,71.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Adi-ekli Health Post,ET010306|adi-ekli health post|01,15,13,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Laelay-adiksanded Health Post,ET010306|laelay-adiksanded health post|01,7,5,1,1,0.0,30.0,0.0,0.0,30.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Tahtay-adiksanded Health Post,ET010306|tahtay-adiksanded health post|01,21,15,1,1,0.0,42.0,0.0,1.0,42.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Abrha-weatsbeha Health Center,ET010306|abrha-weatsbeha health center|01,10,4,1,1,0.0,87.0,0.0,1.0,87.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Genfel Health Post,ET010306|genfel health post|01,20,1,1,1,0.0,81.0,0.0,1.0,81.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Aynalem Health Post,ET010306|aynalem health post|01,37,11,1,1,0.0,90.0,0.0,1.0,90.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Hayelom Health Post,ET010306|hayelom health post|01,31,8,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Gule Health Post,ET010306|gule health post|01,11,2,1,1,0.0,60.0,0.0,1.0,60.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Debretsion Health Post,ET010306|debretsion health post|01,19,20,1,1,0.0,40.0,0.0,1.0,40.0,,,,,1.0,1.0
Tigray,Eastern,Kilte-awlaelo,ET010306,Digum Health Post,ET010306|digum health post|01,9,5,1,1,0.0,46.0,0.0,1.0,46.0,,,,,1.0,1.0
Oromia,West Guji,Abaya,ET041513,Bukisa Health Center,ET041513|bukisa health center|01,0,0,0,0,,,,,,,,,,,
Oromia,West Guji,Abaya,ET041513,Bukisa Health Post,ET041513|bukisa health post|01,103,33,1,1,21.0,14.0,0.0,0.0,-7.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Doko Chere Health Post,ET041513|doko chere health post|01,59,36,1,1,30.0,21.0,0.0,0.0,-9.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Guangua Badiya,ET041513|guangua badiya|01,23,10,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Hasegola HP,ET041513|hasegola hp|01,25,17,1,1,7.0,0.0,0.0,0.0,-7.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Bunata,ET041513|bunata|01,40,41,1,1,21.0,21.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Odomike Badiya,ET041513|odomike badiya|01,22,12,1,1,0.0,7.0,0.0,0.0,7.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Gelo Health Center,ET041513|gelo health center|01,0,0,0,0,,,,,,,,,,,
Oromia,West Guji,Abaya,ET041513,Biyo Health Center,ET041513|biyo health center|01,16,16,1,1,14.0,21.0,0.0,0.0,7.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Wotenba Health Post,ET041513|wotenba health post|01,93,41,1,1,14.0,21.0,0.0,0.0,7.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Lado Health Post,ET041513|lado health post|01,25,27,1,1,21.0,30.0,0.0,0.0,9.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Gelo Health Post,ET041513|gelo health post|01,30,25,1,1,21.0,21.0,0.0,0.0,0.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Kalaltu Health Post,ET041513|kalaltu health post|01,67,65,1,1,28.0,14.0,0.0,0.0,-14.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Samaro Health Post,ET041513|samaro health post|01,5,20,1,1,0.0,14.0,0.0,0.0,14.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Odomike Magala Health Post,ET041513|odomike magala health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Boye Chere Health Post,ET041513|boye chere health post|01,0,0,0,0,,,,,,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Guangua Health Center,ET041513|guangua health center|01,0,0,0,0,,,,,,,,,,,
Oromia,West Guji,Abaya,ET041513,Biyo Health Post,ET041513|biyo health post|01,27,26,1,1,14.0,28.0,0.0,0.0,14.0,,,,,0.0,0.0
Oromia,West Guji,Abaya,ET041513,Guangua Magala,ET041513|guangua magala|01,40,68,1,1,7.0,14.0,0.0,0.0,7.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Harshin HC,ET050207|harshin hc|01,16,12,1,1,18.0,45.0,0.0,1.0,27.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Mii miiri,ET050207|mii miiri|01,17,0,1,0,18.0,,0.0,,,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Madwyn,ET050207|madwyn|01,12,7,1,1,12.0,38.0,0.0,1.0,26.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,gara bidhan,ET050207|gara bidhan|01,8,3,1,1,15.0,0.0,0.0,0.0,-15.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Qudhac ramale,ET050207|qudhac ramale|01,7,10,1,1,15.0,60.0,0.0,1.0,45.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Maglo Xali,ET050207|maglo xali|01,14,10,1,1,35.0,0.0,1.0,0.0,-35.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Farax liban,ET050207|farax liban|01,14,11,1,1,19.0,22.0,0.0,0.0,3.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Kurtumaly,ET050207|kurtumaly|01,12,17,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
Somali,Fafan,Harshin,ET050207,Cadadle,ET050207|cadadle|01,12,12,1,1,15.0,30.0,0.0,0.0,15.0,,,,,0.0,0.0
