adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET060302,Benishangul-Gumuz,Assosa,Kurmuk,International Organization for Migration,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010603,Tigray,South Eastern,Hintalo,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010603,Tigray,South Eastern,Hintalo,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010603,Tigray,South Eastern,Hintalo,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET010603,Tigray,South Eastern,Hintalo,GOAL Ethiopia,CAPACITY,Capacity Building,Fully funded
ET050105,Somali,Siti,Afdem,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,SC,SAM (SC) Stabilization Centre,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,CAPACITY,Capacity Building,Fully funded
ET010604,Tigray,South Eastern,Degua Temben,GOAL Ethiopia,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET041115,Oromia,Bale,Gura Damole,Save the Children,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET042104,Oromia,East Bale,Rayitu,Save the Children,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET042102,Oromia,East Bale,Lege Hida,Save the Children,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET050105,Somali,Siti,Afdem,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Fully funded
ET050105,Somali,Siti,Afdem,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030802,Amhara,Wag Hamra,Sekota,Nexus Ethiopia,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET041701,Oromia,West Arsi,Siraro,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET041701,Oromia,West Arsi,Siraro,Action for Social Development and Environmental Protection Organization,SC,SAM (SC) Stabilization Centre,Partially funded
ET041701,Oromia,West Arsi,Siraro,Action for Social Development and Environmental Protection Organization,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET030105,Amhara,North Gondar,Dabat,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Partially funded
ET030105,Amhara,North Gondar,Dabat,Medical Teams International,OTP,SAM (OTP) Outpatient therapeutic programme,Partially funded
ET030105,Amhara,North Gondar,Dabat,Medical Teams International,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Partially funded
ET030105,Amhara,North Gondar,Dabat,Medical Teams International,AM,PLW_ (AM) Acute Malnutrition,Partially funded
ET020307,Afar,Gabi /Zone 3,Hanruka,Nexus Ethiopia,"RAPIDASSESSMENTS,SURVEYS….","Nutrition assessment (rapid assessments, surveys….)",Fully funded
ET031213,Amhara,West Gondar,Metema,Medical Teams International,BSFP,BSFP _ Feeding,Partially funded
ET031213,Amhara,West Gondar,Metema,Medical Teams International,MAM,MAM Moderate Acute Malnutrition,Partially funded
