adm3_pcode,Region,Zone,Woreda,NGO,activity_code,activity_raw,funding_status
ET010113,Tigray,North Western,Tsimbla,Tigray Development Association,SC,SAM (SC) Stabilization Centre,Fully funded
ET010209,Tigray,Central,Naeder,Tigray Development Association,SC,SAM (SC) Stabilization Centre,Fully funded
ET010307,Tigray,Eastern,Atsbi,Tigray Development Association,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010304,Tigray,Eastern,Ganta Afeshum,Tigray Development Association,SC,SAM (SC) Stabilization Centre,Fully funded
ET040101,Oromia,West Wellega,Mana Sibu,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET040101,Oromia,West Wellega,Mana Sibu,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET040101,Oromia,West Wellega,Mana Sibu,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET040101,Oromia,West Wellega,Mana Sibu,Action Against Hunger,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET050107,Somali,Siti,Miesso,Relief and Development for Vulnerable,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET020206,Afar,Kilbati /Zone2,Dalol,Premiere Urgence Internationale,NUTRITION,Nutrition Supplement/medicine,Fully funded
ET010210,Tigray,Central,Abergele (TG),Action Against Hunger,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET010210,Tigray,Central,Abergele (TG),Action Against Hunger,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET010210,Tigray,Central,Abergele (TG),Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET010210,Tigray,Central,Abergele (TG),Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET010210,Tigray,Central,Abergele (TG),Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET060305,Benishangul-Gumuz,Assosa,Bambasi,Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET060305,Benishangul-Gumuz,Assosa,Bambasi,Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET060305,Benishangul-Gumuz,Assosa,Bambasi,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030119,Amhara,North Gondar,Telemt,Action for Social Development and Environmental Protection Organization,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Action Against Hunger,OTP,SAM (OTP) Outpatient therapeutic programme,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Action Against Hunger,SC,SAM (SC) Stabilization Centre,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Action Against Hunger,MAM,MAM Moderate Acute Malnutrition,Fully funded
ET030805,Amhara,Wag Hamra,Abergele (AM),Action Against Hunger,AM,PLW_ (AM) Acute Malnutrition,Fully funded
ET060306,Benishangul-Gumuz,Assosa,Bilidigilu,Action Against Hunger,IYCF,IYCF -E Infant and Young Child Feeding in Emergencies,Fully funded
