Woreda,Zone,Region,Facilities_NoSupport,HR_NoSupport,LMRI_NoSupport,LowN_Flag,Facilities_Support,HR_Support,LMRI_Support,Delta
Tsimbla,North Western,Tigray,7,0,0.00,0,4,0,0.00,0.00
Gubalafto,North Wollo,Amhara,1,1,1.00,1,1,0,0.00,-1.00
Abaala,Zone 2,Afar,8,4,0.50,0,0,0,,
Berihale,Zone 2,Afar,0,0,,0,1,0,0.00,
Dalol,Zone 2,Afar,7,0,0.00,0,0,0,,
Dangur,Metekel,Benishangul Gumuz,4,0,0.00,1,1,0,0.00,0.00
Dibatie,Metekel,Benishangul Gumuz,3,0,0.00,1,0,0,,
Embaseneyti,Central,Tigray,10,1,0.10,0,1,0,0.00,-0.10
Guto Gida,East Wollega,Oromia,4,4,1.00,1,3,0,0.00,-1.00
Sasiga,East Wollega,Oromia,9,3,0.33,0,3,1,0.33,0.00
Ahsea,Central,Tigray,10,0,0.00,0,0,0,,
Lega Hidha,East Bale,Oromia,0,0,,0,10,0,0.00,
Rama,Central,Tigray,5,0,0.00,0,4,0,0.00,0.00
Axum Town,Central,Tigray,2,2,1.00,1,0,0,,
Gura Dhamole,Bale,Oromia,6,1,0.17,0,0,0,,
Hahayle,Central,Tigray,11,1,0.09,0,0,0,,
Barbare,Bale,Oromia,10,0,0.00,0,0,0,,
Kelafo,Shebele,Somali,0,0,,0,15,4,0.27,
Goro,Bale,Oromia,13,1,0.08,0,0,0,,
Lailay Maichew,Central,Tigray,7,0,0.00,0,9,0,0.00,0.00
Adet,Central,Tigray,17,1,0.06,0,0,0,,
Naeder,Central,Tigray,14,0,0.00,0,0,0,,
Harana Buluk,Bale,Oromia,9,3,0.33,0,0,0,,
Rayitu,East Bale,Oromia,5,0,0.00,0,1,0,0.00,0.00
Tahtay Maychew,Central,Tigray,13,0,0.00,0,0,0,,
Dolo-Ado,Liben,Somali,9,0,0.00,0,1,0,0.00,0.00
Erar,Sitti,Somali,11,10,0.91,0,0,0,,
Afdam,Sitti,Somali,3,0,0.00,1,0,0,,
Shilabo,Korahe,Somali,0,0,,0,6,1,0.17,
Assaita,Zone 1,Afar,4,2,0.50,1,0,0,,
,,,0,266,,0,298,54,,
