Region,Zone,Woreda,adm3_pcode,ngo_count,ngo_types,activity_count,records,funding_statuses,coverage_index,ngo_list,activity_list,coverage_class
Gambella,Agnuak,Gog,ET120203,0,0,0,0,0,0,,,0
Oromia,East Hararghe,Gola Oda,ET041017,0,0,0,0,0,0,,,0
Oromia,Bale,Goro,ET041116,0,0,0,0,0,0,,,0
Amhara,North Wollo,Gubalafto,ET030307,0,0,0,0,0,0,,,0
Oromia,Borena,Guchi,ET041290,2,2,5,12,1,7,Action Against Hunger; International Organization for Migration,IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Oromia,Bale,Gura Dhamole,ET041115,0,0,0,0,0,0,,,0
Oromia,East Hararghe,Gurawa,ET041016,0,0,0,0,0,0,,,0
Oromia,East Wollega,Guto Gida,ET040213,1,1,4,6,1,5,Action for the Needy in Ethiopia,"Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; Nutrition assessment (rapid assessments, surveys….); Nutrition Supplement/medicine",1
Amhara,North Wollo,Habru,ET030308,1,1,3,11,1,4,Action for Social Development and Environmental Protection Organization,IYCF -E  Infant and Young Child Feeding in Emergencies; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
Tigray,Central,Hahayle,ET010217,1,1,5,278,1,6,Save the Children,Capacity Building; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,1
South Ethiopia,South Omo,Hamer Woreda,ET070704,0,0,0,0,0,0,,,0
Oromia,Bale,Harana Buluk,ET041111,0,0,0,0,0,0,,,0
Somali,Fafan,Harawa,ET050299,0,0,0,0,0,0,,,0
Somali,Afder,Hargelle,ET050806,0,0,0,0,0,0,,,0
Somali,Fafan,Harshin,ET050207,0,0,0,0,0,0,,,0
Oromia,Kellem Wollega,Hawa Gelan,ET041801,0,0,0,0,0,0,,,0
Tigray,Eastern,Hawzen,ET010305,2,1,6,17,1,8,Concern Worldwide; GOAL Ethiopia,Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
Tigray,South Eastern,Hintalo,ET010603,2,1,6,14,1,8,Concern Worldwide; GOAL Ethiopia,Capacity Building; IYCF -E  Infant and Young Child Feeding in Emergencies; MAM Moderate Acute Malnutrition; PLW_ (AM) Acute Malnutrition; SAM (OTP) Outpatient therapeutic programme; SAM (SC) Stabilization Centre,2
